"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Bringing a justice lens to ocean access","https://scispace.com/papers/bringing-a-justice-lens-to-ocean-access-2unhh7p4z4j4","2024","Journal Article","Maritime studies","Jonas Hein
Silja Klepp
Anna Lena Bercht","10.1007/s40152-024-00387-9","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 50/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses case studies of fisheries to expose power dynamics and justice claims, showing how privatization shapes legitimacy and community participation in marine spaces.","Abstract Maritime spaces have transformed rapidly the last decades. Open waters and beaches have become restricted and sometimes privatized enclosures. Different forms of extractivism have led to biodiversity loss and in particular to declining fish populations. Additionally, large-scale coastal and marine infrastructure projects, such as deepening and widening of shipping channels, have destroyed important habitats. These profound socio-ecological transformations have had an impact on geographies of resource access and control and consequently on the ability of actors to access, use and benefit from coastal and marine space. Moreover, changes in the lending policies of local banks have posed additional and severe challenges for fishers’ ability to fish. Such processes effect in particular the livelihoods of coastal and small-scale fisher communities and consequently increase existing inequalities and injustices. We suggest to bring the literature on ocean justice and access and property into dialogue and develop a heuristic for analysing inequalities and justice claims. Based on qualitative case studies focussing on the Sicily (Italy), the Elbe estuary (Germany) and the Lofoten (Norway), we show that investigating access relations facilitates the identification of unequal societal relationships with nature. Our cases illustrate that power relations in which privatization processes and access relations are embedded, determine whether injustices can be translated into justice claims and how successful these claims are. Moreover, unequal socio-ecological relations are also influenced by what we call translocal justice. Translocal justice is often lost in processes of commodification, privatization and in the rescaling of political authority and power, as local ties and confidential relationships vanish."
"Institutionalizing injustice? Aligning governance orders in Swedish small-scale fisheries","https://link.springer.com/chapter/10.1007/978-3-030-89624-9_28","2022","Journal Article","MARE publication series","Sebastian Linke","10.1007/978-3-030-89624-9_28","","No","19","QF9jNfoo0REJ","","","","","","","","","SciSpace","- **Relevance Score:** 50/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses detailed case of Swedish small‑scale fisheries to expose institutional power struggles and legitimacy challenges; foregrounds social‑justice and participatory deficits; lacks explicit labor stratification analysis; clearly addresses fisheries sector within blue‑economy context.","Our study investigates how small-scale fisheries’ interests are represented in Swedish fisheries governance from a social justice perspective, linking these findings to the transnational case of the Baltic Sea Advisory Council, which connects Swedish and EU fisheries governance. In neither the Swedish national system nor the Baltic Sea Advisory Council are small-scale fisheries justly represented; rather, the small-scale sector is persistently marginalized and disempowered. The importance of small-scale fisheries for society is highly accentuated on the meta-level of governance, namely in principles and policy documents, while existing institutions, as shown through results from a national survey, are inappropriately designed and malfunctioning for small-scale fisheries’ interests and participation. Furthermore, our results show that fishers have negative views and experiences about existing governance institutions and processes. We conclude that innovations are needed to improve social justice for small-scale fisheries in Sweden and the EU. If small-scale fishers are to contribute towards shaping their own futures, they must be able to influence decision-making and policies that affect their daily lives."
"THE BLUE ECONOMY IN EU COASTAL REGIONS: SECTORAL COMPOSITION AND STRUCTURAL CHALLENGES.","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=16487974&AN=185642967&h=oC%2BQkY1SW0AWvlJMJHN5vhjOz%2BfmSufBKGoESlpZb%2F2YoIAqCJB7FJk7qBi0SvPFH40jRMdW4k6kq9KUCZr4AA%3D%3D&crl=c","2025","Journal Article","Journal of Management (Oluvil)","O Ovchynnykova
V Navickas","10.38104/vadyba.2025.1.06","https://ltvk.lt/wp-content/uploads/2025/07/Vadyba_2025_1_2025-05-22.pdf#page=63","No","","kQRcv3UKr7UJ","","","","","","","","","Google Scholar","- **Relevance Score:** 50/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses employment dynamics and regional inequality data to map labor stratification in coastal tourism; explicitly analyses tourism sector; touches on equity concerns but lacks institutional power analysis.",""
"Social sustainability and equity in the blue economy","https://www.cell.com/one-earth/fulltext/S2590-3322(22)00424-9","2022","Journal Article","One earth","Nathan J. Bennett
Sebastián Villasante
Maria Jose Espinosa-Romero
Priscila F. M. Lopes
Samiya Ahmed Selim
Edward H. Allison","10.1016/j.oneear.2022.08.004","https://www.cell.com/one-earth/pdf/S2590-3322(22)00424-9.pdf","No","73","RGvRa0KDpe8J","","","","","","","","","SciSpace","- **Relevance Score:** 50/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Highlights equity and community benefits, implying social‑justice concerns; mentions power dynamics but without detailed institutional analysis; references broad social harms rather than specific sectoral labor hierarchies.","The ocean economy has the potential to improve human wellbeing. Yet, in practice, its rapid acceleration is often producing few benefits and substantial social harms for rural and resource-dependent coastal communities. We urge a global transformation to a socially sustainable and equitable blue economy that benefits coastal populations."
"Co-creating a just and inclusive blue economy: an analysis of ocean justice in academic literature, policy and legislation.","https://scispace.com/papers/co-creating-a-just-and-inclusive-blue-economy-an-analysis-of-bf5azmusq2ho","2025","Journal Article","","Celine Germond‐Duret
Senia Febrica","10.5194/oos2025-348","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses corpus analysis to map justice and participation across policy and literature, examines institutional checks and legitimacy, foregrounds equity for coastal communities, mentions fisheries but lacks detailed sector focus or labor hierarchy analysis.","The blue economy concept that gained popularity after the 2012 UN Conference on Sustainable Development (Rio+20) has since been advocated by public and private actors as well as environmental non-governmental organisations. Defined as “the sustainable pursuit of economic activities resulting from the exploitation of coastal and marine resources” (Germond-Duret and Germond, 2022) the blue economy concept has raised both hope and concerns: hope that environmental protection will be at the heart of (economic) activities at sea; and concerns that it will facilitate further unsustainable exploitation of coastal and marine resources. It can be seen as being part of a wider “blue acceleration” process, “a race among diverse and often competing interests for ocean food, material, and space” (Jouffray et al., 2020).The academic literature as well as policy and legal documents on the blue economy, almost non-existent a few years ago, is now burgeoning. However, it remains an ambiguous and contested concept, and further work is needed to address the place of environmental protection within the blue economy, the role of communities in this process, and the potential human and social costs of additional economic activities at sea. As research on the blue economy expands and as stakeholders further exploit coastal and marine resources, it is critical to deepen our understanding of how the blue economy can be just and fair.Deploying corpus linguistic analysis this paper will examine the existing academic literature as well as policy and legal documents on the blue economy published by governments, civil society, regional and international organisations to investigate:(1) to what extent traditionally overlooked stakeholders, such as coastal communities, are represented in the academic literature, policy and legal documents related to blue economy?(2) are the economic, social and cultural justice implications of blue economy activities addressed?(3) what checks and balances mechanisms are put in place to support inclusive participation of Indigenous Peoples, local communities, small-scale fishers, women, children and young people at the heart of the process?UN databases such as the Food and Agriculture Organization of the UN’s SSF-LEX, the UN Division for Ocean Affairs and the Law of the Sea’s Maritime Zones and Maritime Delimitation database, and the International Seabed Authority’s national legislation database will be used to collate various governments’ documents related to the blue economy.The findings from the paper will identify trade-offs and inequities that surface as blue economies rapidly develop and provide pathways to integrate transdisciplinary action research approaches, processes, and innovation that are needed to unlock the potential of science to develop sustainable blue economies (Heidkamp et al., 2021). Transdisciplinary research implies working with ocean experts from varied disciplines, different knowledge holders and stakeholders in the co-design of solutions (Febrica, 2021)."
"Incentives to Mariculture Development in Brazil: Environmental Injustice on Traditional Fishing Communities","https://scispace.com/papers/incentives-to-mariculture-development-in-brazil-1ehq5pf4","2022","Book Chapter","","Jean Maurais","10.1007/978-3-030-89624-9_26","https://scispace.com/pdf/incentives-to-mariculture-development-in-brazil-1ehq5pf4.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses case of Brazilian mariculture to expose state and corporate power, foregrounds justice and community participation, and directly addresses fisheries within the blue economy.","This study aimed to identify the main mariculture development policies over the last two decades in Brazil and analyze how government-driven mariculture affects small-scale fishing communities. Methods included document analysis of government policies and environmental regulations, semi-structured interviews to key informants from government and artisanal fishers’ organizations, and field observations. Results show that the passing of the new Brazilian Forest Code in 2012 stimulated shrimp farming by allowing this activity in areas formerly protected for conservation. Additionally, the federal government created a system to grant public marine areas to stimulate mariculture. Those initiatives signal a potential ‘blue revolution’ to the global fisheries market and promote the privatization and commoditization of public sea, land, and other natural resources, according to Blue Economy precepts. The emerging scenario points to the intensification of social and environmental injustices, mainly on coastal fishing communities, which are subject to the expropriation of their traditional territories and the extinguishment of their traditional livelihoods. It is imperative that the Brazilian state commits to implementing policies that correct these injustices, which can be supported by greater compliance with interactive governance precepts."
"Justicia en territorios pesqueros: Violaciones a los derechos humanos en la pesca artesanal en la Corte Constitucional de Colombia","https://scispace.com/papers/justicia-en-territorios-pesqueros-violaciones-a-los-derechos-vmicwfcv","2023","Journal Article","Revista Estudios Socio-Jurídicos","Isabela Figueroa
Lina M. Saavedra-Díaz
Paula Satizábal","10.12804/revistas.urosario.edu.co/sociojuridicos/a.12518","https://scispace.com/pdf/justicia-en-territorios-pesqueros-violaciones-a-los-derechos-vmicwfcv.pdf","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes state and court power over artisanal fisheries, foregrounds rights violations and community exclusion, focuses on fisheries sector, but does not examine labor hierarchies.","Los mares y aguas continentales han sido espacios de luchas sociales históricamente invisibilizadas. Este artículo ofrece un análisis interdisciplinario de todas las decisiones de la Corte Constitucional Colombiana relacionadas con violaciones de derechos humanos en la pesca artesanal. Por medio del Enfoque Basado en Derechos Humanos estudiamos 79 sentencias y construimos una base de datos digital llamada Justicia en Territorios Pesqueros. Identificamos y analizamos los derechos reivindicados con mayor frecuencia. En su mayoría, las decisiones de la Corte indican que el sector de la pesca artesanal no es tenido en cuenta en la aprobación de proyectos de desarrollo. Concluimos que el Estado colombiano privilegia los intereses de los sectores económicos industriales en detrimento de los derechos de las poblaciones pesqueras."
"Ecosystem-based Governance for a Sustainable Blue Economy","https://scispace.com/papers/ecosystem-based-governance-for-a-sustainable-blue-economy-u3k2rur20b0z","2025","Journal Article","","Juan M. Molina
Gabriela E. Blasina
Miguel Frohlich
Pedro Fidelman","10.1201/9781003024613-15","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses offshore wind case to illustrate institutional governance and legitimacy; Highlights inclusive, participatory decision‑making; Does not address labor hierarchies; Clearly covers offshore energy sector.","This chapter explores ecosystem-based governance as a framework for promoting a sustainable blue economy, using Australia's emerging offshore wind sector as a case study. The chapter begins by highlighting the anthropogenic pressures on marine ecosystems and the importance of holistic governance to balance ecological, social, and economic interests. It emphasizes that existing governance frameworks in Australia, characterized by sectoral and jurisdictional fragmentation, pose significant challenges. Despite these challenges, the chapter identifies opportunities for leveraging current policy and legislative arrangements to support ecosystem-based governance. Specifically, it examines the role of the Offshore Electricity Infrastructure Act 2021 (Cth), polycentric governance structures, and the contribution of bridging organizations, such as the Blue Economy Cooperative Research Centre. These elements illustrate how collaboration across multiple governance levels can help manage the complexities of marine spatial planning and environmental assessments. The analysis underscores the need for adaptive and inclusive governance to mitigate the environmental and social impacts of offshore wind development while advancing sustainable economic growth in Australia's blue economy."
"Ideals, realities and paradoxes of stakeholder participation in EU fisheries governance","https://www.tandfonline.com/doi/abs/10.1080/23251042.2016.1155792","2016","Journal Article","Environmental Sociology","Sebastian Linke
Svein Jentoft","10.1080/23251042.2016.1155792","https://www.researchgate.net/profile/Sebastian_Linke/publication/299997474_Ideals_realities_and_paradoxes_of_stakeholder_participation_in_EU_fisheries_governance/links/570aaa8a08aed09e91714528/Ideals-realities-and-paradoxes-of-stakeholder-participation-in-EU-fisheries-governance.pdf","No","47","LYn-65WPzwQJ","","","","","","","","","SciSpace","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes EU fisheries advisory councils, exposing power dynamics and legitimacy contests; foregrounds democratic participation and justice; directly addresses the fisheries sector.","A participatory turn towards more democratic policy-making and decision-making that involves stakeholders has occurred in EU environmental governance since roughly 2000. Despite ubiquitous emphases in favour of ‘good governance principles’, we still know little about their effects in concrete settings where stakeholders are involved in policy and management. Two recent reforms of the EU’s Common Fisheries Policy introduced stakeholder participation via so-called Advisory Councils (ACs). This involved establishing a system for stakeholder representation in these organisations. This paper shows how democratic ideals that emphasise including stakeholders in environmental governance such as fisheries become constrained – or even reversed – by the realities of stakeholder representation procedures. Our theoretical discussion refers to tensions between democratic ideals and the effective organisation of stakeholder participation through representation, emphasising constraints on participation and what may be lo..."
"Integrating blue: How do we make nationally determined contributions work for both blue carbon and local coastal communities?","https://scispace.com/papers/integrating-blue-how-do-we-make-nationally-determined-utfju6z2","2022","Journal Article","AMBIO: A Journal of the Human Environment","Amrit Melissa Dencer-Brown
Robyn Shilland
Daniel A. Friess
Dorothée Herr
Lisa Benson
Nicholas J. Berry
Miguel Cifuentes-Jara
Patrick Colas
Ellyn K. Damayanti
Elisa López García
Marina Gavaldao
Gabriel Grimsditch
Adam P. Hejnowicz
Jennifer Howard
Sheikh Tawhidul Islam
Hilary Kennedy
Rahma Rashid Kivugo
Joseph Kipkorir Sigi Lang'at
Catherine E. Lovelock
Ruth Malleson
Peter I. Macreadie
Rosalía Andrade-Medina
Ahmed Tarek Mohamed
Emily Pidgeon
Jorge del Risco Ramos
Minerva Rosette
Mwanarusi Mwafrica Salim
Eva Schoof
Byomkesh Talukder
Tamara Thomas
Mathew A. Vanderklift
M. Huxham","10.1007/s13280-022-01723-1","https://scispace.com/pdf/integrating-blue-how-do-we-make-nationally-determined-utfju6z2.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses procedural‑justice framework to examine institutional power and legitimacy; foregrounds equity, community participation, and pride in blue‑carbon projects; mentions small‑scale fisheries but lacks explicit labor‑stratification analysis.","Blue Carbon Ecosystems (BCEs) help mitigate and adapt to climate change but their integration into policy, such as Nationally Determined Contributions (NDCs), remains underdeveloped. Most BCE conservation requires community engagement, hence community-scale projects must be nested within the implementation of NDCs without compromising livelihoods or social justice. Thirty-three experts, drawn from academia, project development and policy, each developed ten key questions for consideration on how to achieve this. These questions were distilled into ten themes, ranked in order of importance, giving three broad categories of people, policy & finance, and science & technology. Critical considerations for success include the need for genuine participation by communities, inclusive project governance, integration of local work into national policies and practices, sustaining livelihoods and income (for example through the voluntary carbon market and/or national Payment for Ecosystem Services and other types of financial compensation schemes) and simplification of carbon accounting and verification methodologies to lower barriers to entry."
"Blueing business as usual in the ocean: Blue economies, oil, and climate justice","https://scispace.com/papers/blueing-business-as-usual-in-the-ocean-blue-economies-oil-39f65vku","2022","Journal Article","Political geography","Leah Fusco
Christine Knott
Andrés M. Cisneros-Montemayor
Gerald G. Singh
Ana K. Spalding","10.1016/j.polgeo.2022.102670","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 45/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses offshore oil case to expose power structures and climate injustice; embeds equity concerns in blue‑economy planning; does not address labor hierarchies.","Oceans are increasingly looked toward for their contribution to addressing climate change. These so-called ocean-based climate “solutions” often fall under the umbrella of the “blue economy,” a term used to refer to new ways of organizing ocean economies to provide equitable economic and environmental benefits. Yet, thus far the literature exploring blue economies and blue economy governance has largely overlooked or downplayed its equity and justice roots and implications, including how blue economies are embedded in multiple scales of environmental injustices. This is particularly important when blue economies include offshore oil production. The purpose of this paper is to both emphasize the need and provide an approach to incorporate justice and equity—specifically climate justice—into blue economy planning and scholarship. We build on conceptualizations of blue economies as assemblages to draw attention to the global reach of climate impacts associated with oil that are often overlooked or ignored at sites of production and through regional governance. We argue that greenhouse gas emissions from the life cycle of oil should be included in policies and planning (including blue economy planning) at sites of production, but that this must also incorporate underlying power structures that lead to uneven impacts and climate injustice. We look at environmental assessments as a regional governance tool that could be used to shape opportunities and openings to organize blue economies differently. To illustrate these points, we look at how environmental assessments are playing (and could play) a role in enacting and shaping Newfoundland and Labrador's blue economy."
"Blue Justice in Three Governance Orders","https://scispace.com/papers/blue-justice-in-three-governance-orders-2enye5gm","2022","Book Chapter","","","10.1007/978-3-030-89624-9_2","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 45/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes institutional power and legitimacy in fisheries governance; foregrounds social‑justice and stakeholder participation; focuses on small‑scale fisheries sector; does not address labor stratification.","AbstractSecuring access to resources and markets for small-scale fisheries is one of the United Nations Sustainable Development Goals (SDG 14b). Yet, judging from the Voluntary Guidelines for Securing Sustainable Small-Scale Fisheries, endorsed by FAO member states in 2014, all of the SDGs are relevant for securing sustainable small-scale fisheries. Small-scale fisheries people are vulnerable, marginalized from decision-making, and can be excluded from physical spaces, resulting in food insecurity and poverty. In this chapter, we are particularly interested in SDG 16, which aims to create justice and strong institutions. Drawing on the interactive governance framework and existing academic literature on social justice, we argue that small-scale fisheries in the Blue Economy need more than just institutions. Justice must also permeate the ongoing interactions between small-scale fisheries actors and other stakeholders, including governments, and be integral to the process and outcome of marine spatial planning where small-scale fisheries have high stakes.KeywordsBlue JusticeSustainable Development GoalsSSF GuidelinesMarine spatial planningGovernance ordersSmall-scale fisheriesInstitutionsMarine Spatial Planning"
"Blueprint for a sustainable blue economy: Challenges, opportunities, and policy pathways","https://jurnal.uns.ac.id/jiep/article/view/99750","2025","Journal Article","Jurnal Ilmu Ekonomi dan Pembangunan","Kamal Un Nabi
Mohsina Hayat","10.20961/jiep.v25i1.99750","https://jurnal.uns.ac.id/jiep/article/download/99750/49528","No","2","IY2wBaiW8XQJ","","","","","","","","","Google Scholar","- **Relevance Score:** 45/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses fisheries focus to illustrate blue‑economy sector; foregrounds equity and worker participation; mentions employment but lacks detailed stratification analysis; does not examine institutional power dynamics.",""
"Small-scale fisheries within maritime spatial planning: knowledge integration and power","https://www.tandfonline.com/doi/abs/10.1080/1523908X.2017.1304210","2017","Journal Article","Journal of Environmental Policy & Planning","Svein Jentoft","10.1080/1523908X.2017.1304210","https://www.academia.edu/download/88595751/1523908X.2017.130421020220714-1-qj6an9.pdf","No","163","90k8KN22DJoJ","","","","","","","","","SciSpace","- **Relevance Score:** 45/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes power/knowledge and legitimacy in fisheries governance; foregrounds participation and equity; focuses on small‑scale fisheries as a blue‑economy sector; does not address labor stratification.","The coasts hold great potential for ‘Blue Growth’, and major industrial and infrastructural developments are already happening there. Such growth, however, comes with risks to marine ecosystems and coastal communities. Competition for space and resources intensifies, turning the coast into an area of social and political conflict, including contestation about knowledge. I argue that there is a need for institutional innovation that allows knowledge integration and conflict resolution to be more interactive and synergistic. The paper critically analyses discourses and practices of interactive governance and co-management while visiting Foucault’s power/knowledge concept for investigating the normativity and effects of participation discourses and practices. This is followed by a discussion of multiple governance paths and their different combinations of resources and forms of expert and local social and ecological knowledge so as to see how they can help resolve conflicts, and enhance governability..."
"Advancing a sustainable Blue Economy - case study: fisheries governance in the Indian Ocean","https://scispace.com/papers/advancing-a-sustainable-blue-economy-case-study-fisheries-10m5fk6f","2023","Book Chapter","","Xu Kuangdi","10.4337/9781839107696.00030","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes fisheries governance and legal frameworks, highlighting institutional power dynamics and legitimacy; includes fisheries sector, touches on equity but lacks labor stratification focus.","Humans are heavily dependent upon ocean-based ecosystem goods and services, yet our activities to date have had a range of negative effects on marine health. Nevertheless, oceans continue to be viewed as areas for development, most readily seen in the rapid rise of blue economy policies across the world. The blue economy concept envisages deriving further wealth from the oceans, whilst providing enhanced environmental protection and socio-cultural benefits. This involves the sustainable development of different sectors including fisheries, shipping, tourism and energy production. To achieve these goals, and avoid further negative impacts, improved governance arrangements are essential. This chapter explores fisheries governance in the Indian Ocean region, as a case study to critically analyse existing legal frameworks and to identify opportunities to enhance governance to support blue economy goals. The chapter contributes to a growing body of literature on the blue economy, fisheries governance and the Indian Ocean region."
"Pengembangan Tata Kelola Ekonomi Biru Untuk Memperkuat Blue Economy Development Index di Indonesia","https://scispace.com/papers/pengembangan-tata-kelola-ekonomi-biru-untuk-memperkuat-blue-41l3t8ya9o","2024","Journal Article","Perikanan dan Kelautan","Aryo Sahid Sujiwo
Nurlaili Nurlaili","10.33512/jpk.v13i1.23726","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes institutional leadership, law enforcement, and stakeholder support in blue‑economy governance; identifies six sectors (fisheries, tourism, transport, etc.); lacks labor‑stratification focus; touches on participation but not deep social‑justice analysis.","Meskipun ekonomi biru mempunyai potensi untuk berperan dalam pembangunan kelautan yang berkelanjutan, hingga saat ini praktik-praktik untuk menerapkan konsep ekonomi biru jumlahnya masih relatif terbatas. Penelitian ini bertujuan untuk mengidentifikasi sektor-sektor yang potensial untuk mendukung pembangunan ekonomi biru, menganalisis elemen-elemen yang terlibat dalam tata kelola ekonomi biru, serta menganalisis model struktural elemen-elemen tersebut guna meningkatkan Blue Economy Development Index di Indonesia. Penelitian ini menggunakan pendekatan metode campuran untuk mencapai tujuan tersebut: analisis kebijakan dan kelembagaan, wawancara semi terstruktur dengan pelaku ekonomi biru, dan survei lapangan. Metode analisis yang digunakan adalah interpretive structural modeling . Temuan penelitian ini menunjukan adanya enam sektor ekonomi biru di Pulau Untung Jawa: keberadaan galangan kapal, penangkapan ikan, aquakultur, wisata bahari, transportasi laut, dan desalinasi air laut. Hasil penelitian mengindikasikan bahwa penegakan hukum dan peraturan terkait ekonomi biru sebagai elemen kunci, dilanjutkan dengan elemen dukungan pemangku kepentingan terkait ekonomi biru. Sedangkan untuk kelembagaan tata kelola ekonomi biru yang berkelanjutan, penelitian ini menemukan kepemimpinan dan komitmen pemerintah sebagai elemen kunci kelembagaan tata kelola ekonomi biru."
"Participation and representation in governing multiple-use marine ecosystems","https://scispace.com/papers/participation-and-representation-in-governing-multiple-use-4pd7vclo0g","2018","Journal Article","Australian journal of maritime and ocean affairs","Maree Fudge","10.1080/18366503.2018.1536314","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes legitimacy and representation in marine governance, highlighting participatory justice; lacks focus on labor hierarchies; sector discussion is general marine commons rather than specific blue‑economy industries.","Stakeholder participation has become central to marine governance, a trend that is consistent with resource governance more broadly. Imperatives for increasing participation in marine governance reflect complex sociological trends, including population-driven change in coastal areas, increasing marine industry; climate-mediated changes in productivity; and decreasing trust in governing institutions. Despite this, marine governance research points to a paradox – efforts to increase participatory governance are leading towards decreasing legitimacy and low levels of trust in the governance system. This paper examines stakeholder perceptions of representation in the context of efforts to achieve effective participatory governance of a multiple-use marine commons: the D’Entrecasteaux-Huon Channel region in Tasmania, Australia. Political representation was found to be an essential component of stakeholders’ assessment of the legitimacy of the governance of multiple-use marine systems. At the same time, representation was found to be a contradictory component that could not necessarily be settled by ideal type institutional rules for participation in governance. This paper suggests that rethinking how representation can be managed institutionally within the network context is warranted. It contributes to marine governance research by directly facing the complexity of representation in participatory initiatives, and signals a potential avenue for examining the challenges of participatory governance of shared marine systems."
"Examining Institutional Arrangements toward Coordinated Regional Ocean Governance and Blue Economy Policy Development in the Caribbean Community (CARICOM)","https://scispace.com/papers/examining-institutional-arrangements-toward-coordinated-2qd7kvci","2022","Journal Article","Coastal Management","Kahlil Hassanali","10.1080/08920753.2022.2082835","https://www.tandfonline.com/doi/pdf/10.1080/08920753.2022.2082835?needAccess=true","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes CARICOM's institutional frameworks and coordination gaps across fisheries, tourism, offshore oil, and shipping; proposes participatory policy development but lacks direct labor stratification analysis.","Abstract Members of the Caribbean Community (CARICOM) exhibit strong economic, social and cultural connection with and dependence on the marine and coastal environment. Efforts to encourage the sustainable use and protection of the ocean and its resources should therefore be an area of interest and competence for the regional group which seeks to engender cooperation in matters of economic and social development. This paper examines the regionally relevant institutional arrangements that frame and execute ocean development and governance within CARICOM. It finds that while some important sectors, such as fisheries and tourism, have specific organizations established geared toward regional coordination in management of those activities, others, including offshore oil and gas, marine scientific research, and port and shipping development, lack similar arrangements. Additionally, the CARICOM group lags in adopting a holistic, ecosystem approach to ocean management with siloed approaches dominating and few formal mechanisms for intersectoral coordination existing. This paper advocates for and proposes means toward increased integration at a regional level for the management and continued governance of the marine space, its associated resources and activities. It also seeks to encourage the participatory development of a regional blue economy policy framework and strategy which would outline, among other things, CARICOM’s ocean vision and development priorities."
"Rethinking Environmental Governance for Development: the Blue OEconomy Dispositive","https://scispace.com/papers/rethinking-environmental-governance-for-development-the-blue-ye4zap63ttni","","","","Alex Midlen","10.20944/preprints202410.1422.v1","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes governance power and legitimacy, emphasizes community‑focused justice, but lacks explicit labor stratification and sector‑specific detail beyond general Kenyan case context.","The Blue Economy is a recent development paradigm, created in response to a refocusing of sustainable development during preparations for the UN Conference on Environment and Development in 2012 in which the ‘green economy’ was proposed. Coastal and island States called for a ‘blue’ equivalent. In the years since the ‘blue economy’ has been enthusiastically received by many, but its exact nature remains uncertain and contested. In this paper I examine in more detail the practices, the technologies, the materialities, of the BE ‘dispositif’ to address the question of ‘place’, as it is only in the context of place, I argue, that we can really understand how the Blue Economy is enacted. In doing so, I make the argument that the Blue Economy is a ‘security dispositif’ (referencing Michel Foucault) and that to govern Blue Economy places well, we need to pay attention to the emergent space-time relations of the dispositif ‘in place’. Finally, I argue for a rethinking of economy and of blue economy governance, drawing on relational analysis of empirical cases in Kenya to call for a blue economy that is more sensitive to communities and the places they inhabit – a blue œconomy."
"Integrating environmental sustainability and social justice principles into South Africa's blue economy initiative: re-imagining the political economy of our ocean","https://scispace.com/papers/integrating-environmental-sustainability-and-social-justice-7n6lyve74xik","2024","Journal Article","Frontiers in ocean sustainability","Merle Sowman
Jackie Sunde","10.3389/focsu.2024.1459496","https://scispace.com/pdf/integrating-environmental-sustainability-and-social-justice-7n6lyve74xik.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 42/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses inclusive, justice‑oriented governance analysis to critique power relations and advocate participatory decision‑making, but lacks focus on labor hierarchies or specific sector case studies.","South Africa has vigorously embraced the concept of the blue economy. However, the scope, scale and impacts of South Africa's blue economy initiative, have raised significant concerns amongst local communities, NGOs and scholar activists in South Africa who are challenging South Africa's conceptualization of, and approach to “blue growth.” This paper provides a critique of South Africa's approach to planning, developing and governing the ocean economy and argues that the principles of social justice and environmental sustainability have been sidelined in favor of pursuing rapid economic growth. The paper examines key issues in the literature, environmental assessment processes, various legal cases that deal with mining, oil and gas applications, as well as insights from participation in several workshops with small-scale coastal fishing communities where issues on the blue economy were explored. These issues are discussed in relation to the growing literature on inclusive governance and integration of social justice and equity principles as foundational for fostering a sustainable and equitable blue economy. We conclude with proposals for embedding environmental sustainability and social justice principles, in a co-created blue economy policy and governance framework for South Africa."
