"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Maritime sociology: towards a delimation of themes and analytical frameworks","https://scispace.com/paper/maritime-sociology-towards-a-delimation-of-themes-and-l32v0le997","1981","Journal Article","Maritime Policy & Management","Michael Poole","10.1080/03088838100000046","","This paper sets out to evaluate the main areas of focus within maritime sociology and to link more closely than hitherto the various substantive discussions with general theoretical and conceptual approaches. More specifically, it suggests directions in which maritime sociology may be advanced at both empirical and conceptual levels in the future.","In this paper, the main areas of focus within maritime sociology are evaluated and the main directions in which maritime sociology may be advanced at both empirical and conceptual levels in the future, as well as the direction in which such research may be pursued at both conceptual and empirical levels."
"Oceanic Travels: Future Voyages for Moving Deep and Wide within the ''New Mobilities Paradigm''","https://scispace.com/paper/oceanic-travels-future-voyages-for-moving-deep-and-wide-3bu166m68v","2019","Journal Article","","Kimberley Peters
Rachael Squire","10.3167/TRANS.2019.090207","","The seas and oceans, ships and boats, alongside other maritime activities and practices, have become a focus of work within the “new mobilities paradigm.” However, water worlds much like the space they occupy in the relation to the land remain situated in the margins of such work, despite an oceanic (re)turn in disciplines such as human geography, sociology, anthropology, and politics. Drawing from this recognition, this article seeks to make two contributions. First, following earlier, agenda-setting work, it makes a renewed call for mobilities scholarship to centralize work on oceans, ships, and other forms seagoing travel and life. Second, in doing so, it suggests such work needs to voyage more deeply and widely in the future, exploring mobilities beyond surficial connections and flows across our oceans, and making more expansive the subjects and objects and scales of investigation, under the remit of the “new mobilities paradigm.”","The seas and oceans, ships and boats, alongside other maritime activities and practices, have become a focus of work within the new mobilities paradigm as mentioned in this paper, however, water worlds like the space they occupy in the relation to the land remain situated in the margins of such work, despite an oceanic (re)turn in disciplines such as human geography, sociology, anthropology, and politics."
"Controverses maritimes","https://scispace.com/paper/controverses-maritimes-16krmaf3","2022","Journal Article","Revue D'anthropologie Des Connaissances","Nicolas Benvegnu
H. Desfontaines
Sarah Ghaffari","10.4000/rac.28034","","Cet article liminaire pose une double interrogation : la première concerne la spécificité de la mer comme objet de recherche et la seconde vise à rendre compte de la portée heuristique de la notion de controverse pour appréhender les enjeux maritimes. À partir de différents travaux sur la mer et ses enjeux, cet article montre comment les premières disputes autour de la mer contribuent à sa qualification en espace politique, objet de convoitise et de régulation nécessitant la production de cadres réglementaires spécifiques. L’article s’arrête ensuite sur les liens entre les savoirs produits sur la mer et ses ressources et l’ordre social en s’intéressant notamment aux formes de production et de légitimation de savoirs, à leur hiérarchisation et à leur traduction en décision politique. Enfin, la présentation des articles du dossier permet de mettre l’accent sur la pluralité des mondes sociaux et des registres de justification mobilisés pour qualifier les enjeux maritimes. Ceci nous conduit, in fine, à mettre en lumière les apports d’une approche par le prisme des controverses pour analyser dans un même ensemble des productions pourtant hétérogènes tant du point de vue des perspectives retenues que des échelles prises en compte. ","In this article , a double interrogation of the mer and the notion of controverse is presented, where the first vise is to rendre compte de la portée heuristique de the notion de controverse for appréhender les enjeux maritimes."
"El CoLaboratorio de oceanografía social: espacio plural para la conservación integral de los mares y las sociedades costeras","https://scispace.com/paper/el-colaboratorio-de-oceanografia-social-espacio-plural-para-3peeesryj9","2018","Journal Article","","Nemer E. Narchi
Micheline Cariño
M. Azahara Mesa-Jurado
Alejandro Espinoza-Tenorio
Aramis Olivos-Ortiz
Michelle María Early Capistrán
Eduardo Morteo
Yurixhi Ochoa
Christine M. Beitl
Teresa E. Martínez
Omar Cervantes
Héctor Nava
Ana K. Spalding
Cynthia A. Grace-McCaskey
Néstor Corona
Gustavo Goulart Moreira Moura","10.31840/SYA.V0I18.1888","https://scispace.com/pdf/el-colaboratorio-de-oceanografia-social-espacio-plural-para-3peeesryj9.pdf","Este ensayo revisa los alcances de la oceanografía social tal como fue presentada y discutida en la Primera Reunión de Oceanografía Social organizada en el Centro de Estudios en Geografía Humana de El Colegio de Michoacán en septiembre de 2017. La oceanografía social es un campo innovador e híbrido de estudio, situado en el umbral entre las ciencias naturales y sociales que abarca el estudio de las relaciones e interacciones de las sociedades humanas, presentes y pasadas, con el ambiente costero/marino. Dividimos el ensayo en dos secciones. Primero, describimos cronológicamente el surgimiento y evolución de la disciplina, así como un panorama contemporáneo del quehacer del oceanógrafo social y la imperante necesidad de expandir esta aproximación a todas las esferas de los estudios marinos. Finalmente, ofrecemos una síntesis de las fortalezas y retos que ofrece la oceanografía social y de cómo nos proponemos enfrentarlos a partir de la formación de un CoLaboratorio.","In this article, a panorama contemporáneo del quehacer del oceanógrafo social and the imperante necesidad de expandir esta aproximación a todas las esferas de los estudios marinos."
"Introduction: theorising heritage for the seas","https://scispace.com/paper/introduction-theorising-heritage-for-the-seas-1gaseqrfwn","2024","Journal Article","International Journal of Heritage Studies","Edyta Roszko
Tim Winter","10.1080/13527258.2024.2323545","","This Introduction makes the case for a more critical engagement with oceans and the maritime within critical heritage theory. We lay out a research agenda that more consciously foregrounds aquatic domains in debates about conservation, sovereignty, governance, state power, and the politics of memory. In laying the ground for the papers that follow, we portray oceanic geographies and maritime heritage as politically and culturally charged arenas in order to argue that oceans are far from neutral or culturally egalitarian spaces and are subject to human-imposed hierarchies and competing ontologies. We scrutinize the dynamic interplay between maritime and marine realms to challenge conventional understandings of space, territory, and ownership, advocating for a reimagined approach to heritage that recognizes the ocean’s pivotal role in shaping human history and culture. ","Introduction: theorising heritage for the seas TLDR - Oceans and the maritime are politically and culturally charged arenas subject to human-imposed hierarchies and competing ontologies."
"Maritime controversies","https://scispace.com/paper/maritime-controversies-1bk3447u","2022","Journal Article","Revue D'anthropologie Des Connaissances","Nicolas Benvegnu
H. Desfontaines
Sarah Ghaffari","10.4000/rac.28060","","This introduction addresses a dual question: the first concerns the specificity of the sea as an object of research and the second questions the heuristic power of the notion of controversy to understand maritime issues. Based on several studies on the sea and its issues, this article attempts to show how the first disputes over the sea contributed to its qualification as a political space, an object of competition and regulation, requiring the production of specific political and regulatory frameworks. The article then focuses on the links between the knowledge produced about the sea and its resources and the social order. In particular, it considers the forms of production and legitimization of knowledge, their hierarchization and their translation into political decisions. Finally, the presentation of the articles in the issue allows us to emphasize the plurality of social worlds and justifications mobilized to qualify maritime challenges. This leads us, in fine, to highlight the relevance of an approach through the bias of controversies in order to analyze in the same set of productions that are heterogeneous both from the point of view of the perspectives retained and the scales taken into account. ","In this article , the first disputes over the sea contributed to its qualification as a political space, an object of competition and regulation, requiring the production of specific political and regulatory frameworks."
"Którędy nad morze? Z archiwum wizualnego kompleksu kolonialnego międzywojnia","https://scispace.com/paper/ktoredy-nad-morze-z-archiwum-wizualnego-kompleksu-1x9pzui9","2023","Journal Article","Przegląd Humanistyczny","Łukasz Zaremba","10.31338/2657-599x.ph.2022-2.2","","The article is an attempt to describe the „maritime turn” or „turn to the sea” in the interwar period in Poland from a spatial and visual point of view. The author argues that the Baltic Sea appears in the imagination of the majority of the country’s population primarily through images, and that a careful investigation of popular visual media – outdoor advertising, but most importantly cinema – allows one to capture not only the propaganda and rhetorical dimension of imperial and maritime politics but also the basic remodeling of space that happened in Poland at that time. Using the example of the 1927 movie Call of the Sea (dir. H. Szaro) and in reference to other cinematic productions of the period, the article attempts to characterize the development of ways of showing/seeing and locating the sea on the map and in the social imagination. The key dimensions of this representations are low artistic quality and superficiality, which are interpreted here not in aesthetic terms, but as a testimony to how the sea was present in the lives of the majority of Polish society at that time – namely as decoration, background, fantasy, dream, joke, rather than the experience of a transoceanic journey or even seaside holidays.","In this paper , the authors describe the ""maritime turn"" or ""turn to the sea"" in the interwar period in Poland from a spatial and visual point of view, arguing that the Baltic Sea appears in the imagination of the majority of the country's population primarily through images."
"What can sea-related associations reveal about a coastal region’s maritimity? A case study in southern France","https://scispace.com/paper/what-can-sea-related-associations-reveal-about-a-coastal-eomee7kmig","2024","Journal Article","Maritime studies","Samuel Robert","10.1007/s40152-023-00346-w","","Abstract A key component of the environment in coastal territories, the sea also creates special geographical features and grounds social and cultural identities. At a time of rising concern and multiple projects for its exploitation as well as its protection, public policies need to consider the social representation of the marine environment and people’s visions of its future. Relying on the concept of maritimity, defined as all the relationships binding human societies to the sea and the resulting landscape, economy and culture, we assess the maritime character of a coastal region in southern France by analysing the local sea–related associations its population are engaged in. This is made possible through the supervised extraction of the relevant data from the national directory of associations, the official database of non-profit associations in France, which are then given appropriate statistical and cartographic treatments. Results provide an indication of the depth of the region’s maritime character, as well as the areas of activity and places in which maritimity is the most developed. These are consistent with the social and economic profile of the region, highly engaged in tourism and a residential economy. Further work is recommended, with a view to exploring the region’s maritimity more closely by comparing it with other regions and applying finer analysis to the stated objectives of the sea-related associations. ","This study assesses the maritimity of a coastal region in southern France by analyzing local sea-related associations, revealing a strong maritime character consistent with the region's tourism and residential economy, with implications for public policy and future research."
"Antropologi Maritim : Inovasi,Budaya dan Identitas di Wilayah Laut dan Pesisir","https://scispace.com/paper/antropologi-maritim-inovasi-budaya-dan-identitas-di-wilayah-291rcxo9pkts","2024","Journal Article","Bhinneka","Muhammad Nawir
Nabilah Lutfiyyah
Fasikul Ikhsan
Mustika Mustika","10.59024/bhinneka.v2i1.675","","This research holistically explores the role of innovation, cultural heritage, and identity in the context of maritime anthropology. The focus on fishing technology, cultural practices, and the influence of globalization provides a profound understanding of the dynamics of coastal community life. The research findings also identify interactions among communities, comprehending knowledge exchange and adaptation to sustain cultural heritage and innovation. Additionally, the inclusion of contributions from previous research enriches the understanding of community participation in coastal development programs. These findings establish a solid foundation for the preservation of cultural heritage and a deep understanding of coastal community life. ","This research explores maritime anthropology, examining innovation, cultural heritage, and identity in coastal communities, highlighting interactions, knowledge exchange, and adaptation to globalization, and providing a foundation for preserving cultural heritage and understanding coastal community life."
"Içar velas: algumas considerações sobre as venturas na relação entre o homem e o mar","https://scispace.com/paper/icar-velas-algumas-consideracoes-sobre-as-venturas-na-2j6t5obobx","2010","Journal Article","","Fábio de Oliveira Matos
Fábio Perdigão Vasconcelos","10.5654/ACTAGEO2010.0407.0005","https://scispace.com/pdf/icar-velas-algumas-consideracoes-sobre-as-venturas-na-2j6t5obobx.pdf","i Este artigo tem objetivo de estabelecer um dialogo sobre a tomada de relacoes do homem com o mar. Apoiado no âmbito geo-historico buscou-se resgatar a analise de como se processou o ideal de valorizacao dos espacos litorâneos, a transformacao da imagem negativa acarretada ao mar a uma redefinicao como um local de contemplacao paisagistica, desencadeadora de conflitos e expansao economica, bem como a descoberta do mar como area para lazer e veraneio. Palavras-chave: Maritimidade, Geografia-historica, Zona costeira. Abstract The purpose of this article is to establish a dialogue around the relationship between man and the sea. Founded on the geo-historical sphere, the intention was to study the analysis of the ideal valorization of coastal spaces, how their negative image associated with the sea was redefined into a place of majestic landscapes, at the core of conflict and economic expansion, as well as the discovery of the sea","Palavras-chave et al. as mentioned in this paper established a dialogue around the relationship between man and the sea and studied the analysis of the ideal valorization of coastal spaces, how their negative image associated with the sea was redefined into a place of majestic landscapes, at the core of conflict and economic expansion, as well as the discovery of the sea."
"The relational turn in island geographies: bringing together island, sea and ship relations and the case of the Landship","https://scispace.com/paper/the-relational-turn-in-island-geographies-bringing-together-32x3np0cfj","2016","Journal Article","Social & Cultural Geography","Jonathan Pugh","10.1080/14649365.2016.1147064","https://scispace.com/pdf/the-relational-turn-in-island-geographies-bringing-together-32x3np0cfj.pdf","Island studies are a growing field of research. A relational turn has recently taken place in island studies alongside relational turns in associated fields of research, including oceanic and ship geographies (although not always in conversation with them). While all three now challenge the landlocked nature of geography and related disciplines, this paper suggests that islands, oceans and ships should not always be reductively conceptualized in isolation, because they are often bound together through complex and shifting relations and assemblages. After reviewing debates and conceptual gaps in the critical island, sea and ship literatures, the paper makes this argument by reference to an island dance performance and social institution that is not wholly of the island, the ship or sea, called the Barbados’ Landship.","The Barbados' Landship as mentioned in this paper is an island dance performance and social institution that is not wholly of the island, the ship or sea, called the Barbados’ Landship."
"Maritimacies and Nature-Culture Collectives as Inputs for a Sustainable Blue Economy on the East Coast of Uruguay","https://scispace.com/paper/maritimacies-and-nature-culture-collectives-as-inputs-for-a-7a0vpnnyhvtv","2024","Journal Article","Latin American Perspectives","Leticia D’Ambrosio Camarero","10.1177/0094582x241284570","","The research for this article examines the characteristics of the marine-coastal environment from the perspectives of a range of social actors. Knowledge of maritimacies can serve as an input for management of marine-coastal environments that takes into account the diverse types of humanity found there, by emphasizing that these processes are not just physical and ecological, but also social, economic, cultural, and historical. An ethnographic methodology allows for mapping the perspectives of social actors, their points of view, and different ways of life. The result was a systemization of maritimacies, which can contribute to thinking about and building a sustainable Blue Economy that recognizes and involves those who inhabit the coast and the sea in Uruguay by considering the heterogeneity and complexity of their social networks. ","This study examines maritimacies and nature-culture collectives on Uruguay's East Coast, using ethnography to map social actors' perspectives and develop a systemized framework for a sustainable Blue Economy that acknowledges coastal inhabitants' heterogeneity and complexity."
"Empire","https://scispace.com/paper/empire-4x35xcqk","2022","Book Chapter","","Ayah Wehbe","10.4324/9781315111643-7","","Whilst the study of imperialism and maritime space has been established for decades, developments across disciplines, alongside the ongoing engagement with academic forms of decolonisation, have meant increasingly heterodox readings of these processes have occurred. This chapter engages with these trends in four ways: spatial metaphors which destabilise core/periphery binaries and challenge reading ‘ocean worlds’ as discrete spatial containers; maritime contexts (in this case port cities, ship-spaces, navies and carceralities) which functioned in distinct ways, but which were – and are – ‘interlocked’ as a result of imperial processes; anticolonialism as always embedded within imperial maritime space, and; contemporary oceanic imperialisms. ","In this paper , spatial metaphors are used to destabilise core/periphery binaries and challenge reading ""ocean worlds"" as discrete spatial containers; maritime contexts (in this case port cities, ship-spaces, navies and carceralities) which functioned in distinct ways, but which were interlocked as a result of imperial processes; anticolonialism as always embedded within imperial maritime space; contemporary oceanic imperialisms."
"The World Ocean and the Human Past and Present","https://scispace.com/paper/the-world-ocean-and-the-human-past-and-present-3ioaga6e9svf","","","","Hance D. Smith
Juan Luis Suarez de Vivero
Tundi S. Agardy","10.4324/9780203115398-2","","The contemporary economic development of the world ocean—indeed the world—has its roots in the Western European region during the second half of the fifteenth century. Maritime cultures have three essential components, namely, an economic dimension focused on sea uses; an environmental dimension focused on the sea itself; and a social dimension focused on human societies. The later development of settled agricultural societies was concentrated in large river valleys and adjacent coasts, mainly in North Africa, south west and south Asia, and the monsoon lands to the east; together with the tropical highlands of the Americas. The emergence of civil society groups concerns themselves with ocean use, marine access and protection, which had its origins in the stage dating from the 1830s and 1840s. In a maritime context, particular interest attaches to the 'mixed economy' systems both at national and international levels.","This paper explores the historical development of the world ocean, tracing its roots to 15th century Western Europe, and examines the economic, environmental, and social dimensions of maritime cultures and their impact on global development and civil society."
"Of other seas: metaphors and materialities in maritime regions","https://scispace.com/paper/of-other-seas-metaphors-and-materialities-in-maritime-40c2i76w86","2013","Journal Article","Atlantic Studies","Philip E. Steinberg","10.1080/14788810.2013.785192","","Even as ocean-region-based studies gain popularity, they all too often fail to engage the aqueous center that lies at the heart of every maritime community. Studies that seek to highlight political–economic connections across ocean basins tend to ignore the sea altogether, while those that highlight it as a site for challenging modernist notions of identity and subjectivity tend to treat the ocean solely as a metaphor. In contrast, this article argues that in order for ocean-region-based studies to reach their potential, the ocean must be engaged as a material space characterized by movement and continual reformation across all of its dimensions. Drawing on a range of theories, from conceptualizations of more-than-human assemblages to the oceanographic modeling techniques of Lagrangian fluid dynamics, this article proposes a perspective that highlights the liquidity of the ocean, so that the sea is seen not just as a space that facilitates movement between a region's nodes but as one that, throug...","The authors proposes a perspective that highlights the liquidity of the ocean, so that the sea is seen not just as a space that facilitates movement between a region's nodes but as one that, throug..."
"The Shore as a Politicized Space for Community Heritage: The Case of Pra’, Genoa","https://scispace.com/paper/the-shore-as-a-politicized-space-for-community-heritage-the-3ltfu28lbp","2024","Journal Article","","Francesca Savoldi","10.58981/bluepapers.2024.1.15","","Changes in coastal and maritime environments, increasingly caused by the climate crisis and large infrastructural projects such as global port construction, significantly impact community identity. When a community’s terraqueous space – a space that transcends the land-sea binary distinction – suffers a shock, long-term sociability within the community and relationships with nature are altered. This article connects the challenges of coastal community spaces and the community’s cultural heritage by articulating a critical ontology of the shore. The connection is illustrated using the example of Pra’ in Genoa, where constructing a large port terminal has detached the local maritime community from the sea.","The Shore as a Politicized Space for Community Heritage explores the impact of changes in coastal environments on community identity and heritage. It argues that the loss of terraqueous space due to infrastructural projects disrupts long-term sociability and relationships with nature."
"Historical Fishing Communities","https://scispace.com/paper/historical-fishing-communities-49ju7b9n06","2016","Book Chapter","","Poul Holm","10.1007/978-94-017-7496-3_3","","Community-building is one tool of human resilience to overcome the challenges of a hostile environment such as the marine. The chapter provides an overview of how the concept of community has been deployed in historical and social anthropology studies of maritime communities since the 1920s. Two main insights come out of this study, Firstly, the theoretical consciousness borne out of disciplines such as sociology, social anthropology and ethnography are valuable assets in the context of marine environmental history, and deserves to be considered in more historical studies than what has been the case so far.","In this paper, the concept of community has been deployed in historical and social anthropology studies of maritime communities since the 1920s, and the theoretical consciousness borne out of disciplines such as sociology, social anthropology and ethnography are valuable assets in the context of marine environmental history, and deserves to be considered in more historical studies."
"Modern Maritime Practices in the Tropics","https://scispace.com/paper/modern-maritime-practices-in-the-tropics-248wnhpkgv","2016","Book Chapter","","Eustógio Wanderley Correia Dantas","10.1007/978-3-319-30999-6_1","","The intent of the first chapter is to understand the slow, gradual process of the incorporation of the sea into society, which we call the construction of maritimity in the tropics. This is understood as a group of collective representations, which on the one hand motivates the approximation of society in relation to the sea; on the other justifies the logic of territorial planning by generating flows and producing forms which directly impact the logic of contemporary urbanization of beach zones in the tropics. The contribution offered in this analysis consists in pondering such a phenomenon, as more than a result of external influences. Based on the Brazilian example, it is possible to glimpse the kind of territorial order which results from the filtering through which the local elite arranges the maritime practices invented in the West, with implications for instituting neighboring practices. Thus, the idea of the mere transposition of these practices to the tropics is criticized, denoting a diverse and representative image of how the societies in focus adapt them to their own social and natural environment. This analysis allows for reflection on the importance that the sea and maritime have acquired nowadays in tropical and developing countries, allowing one to deal with representative characteristics of the Brazilian model. In summary, from the representation of the group of countries one can note the following: (a) the importance of national tourism in the process of giving value to beach zones and putting in check the models evidencing the dependence of tourism flows on the socioeconomic and technological transformations undertaken in the West; (b) the strength of the demand of the wealthy classes in relation to which the desire for the sea leads to the implementation of a logic of territorial planning by giving way to a group of practices which are close to the Western model. The consideration of maritimity in the terms presented reveals a complex image of tropical countries, where the local groups which establish relationships with the sea are strongly influenced by the Western model and the analysis of which cannot be reduced to a simple opposition between internal-traditional maritimity and a external-modern one. Maritimity is about a phenomenon of society, the boundaries of which are not clear.","In this paper, a slow, gradual process of the incorporation of the sea into society, which we call the construction of maritimity in the tropics, is analyzed, as more than a result of external influences."
"“Maritime History: A Gateway to Global History?”","https://scispace.com/paper/maritime-history-a-gateway-to-global-history-28lh3qiud5","2010","","","Amélia Polónia","","","This volume seeks to contribute new insights to current debates about the scope of maritime history and its connections with global history. It comprises a set of studies on various themes, time periods and geographical areas, using diverse methodologies and theoretical frameworks, but with a common topic: a discussion of the global impact of maritime dynamics. Since maritime history in its economic, social, cultural, environmental and political dimensions contributes actively to world history, this collection intends to highlight maritime history as a major agent for broad global exchange, focusing on interdependencies which fostered connections on the local, national and global levels from the fifteenth to the twentieth centuries. To meet this goal, the book includes papers covering both a broad spatial and chronological scope and diverse sub-fields of maritime historical research. The intellectual conception of the volume is two-fold. On the one hand, it shows how maritime dynamics created global exchanges in the sense that they generated phenomena that had global impacts. The ultimate example might be the European maritime expansion between 1500 and 1800 which served as a catalyst for launching a world economic system which eventually led to the “First Global Age,” a subject that is still under discussion and demands further research. On the other hand, we believe that maritime history in its broadest sense is global in the sense of a “total history,” a hypothesis supported by a good deal of evidence. Maritime history in its widest sense is usually understood as a field of research which encompasses all the dynamics which result from, and are required by, the ways humans use the sea. In this sense, maritime history cannot be confined to a specific field of historical research. Rather, it often crosses the boundaries of other disciplines and fields of research, and indeed goes beyond the limits of history. Understanding the historical development of fisheries requires the study of sea resources and an analysis of the sustainability of eco-systems, thereby involving disciplines such as biology, climatology, ecology and environmental science. Studies on maritime accessibility draw on insights from geography, geomorphology and engineering. Studying seafaring or fishing communities necessitates theoretical and methodological inputs from anthropology, sociology and even the behavioural sciences. Analyzing the distribution of maritime populations involves demographic studies.","In this article, a set of studies on various themes, time periods and geographical areas, using diverse methodologies and theoretical frameworks, but with a common topic: a discussion of the global impact of maritime dynamics."
"The broker","https://scispace.com/paper/the-broker-e3wkmzn7","2022","Journal Article","History and Anthropology","Jatin Dua","10.1080/02757206.2022.2066095","","ABSTRACT An emphasis on flow and endless accumulation has been central to the understandings of contemporary maritime capitalism. This form of accumulation has been enabled by structures of violence and exploitation wrought through desires of ever-bigger and ever-faster within the world of global shipping. But flow is only part of this story, mobility at sea is always interrupted, sticky and delayed. Maritime journeys are constituted by chokepoints, drift, and stuckness and are moments of anxiety and peril for a variety of actors from seafarers to policy makers whose projects seek to overcome these blockages in order to make possible more efficient and more profitable forms of circulation. For others, interruptions point to possibility. Here, I emphasize that for ‘maritime figures’ like insurance brokers, and seafarers, interruptions are part of everyday life at sea: a life constituted through an admixture of peril and possibility.","In this article , the authors emphasize that interruptions are part of everyday life at sea: a life constituted through an admixture of peril and possibility, and emphasize that for maritime figures, like insurance brokers, and seafarers, interruptions like chokepoints, drift, and stuckness are normal for a variety of actors from seafarers to policy makers."
"Maritime borders: A reconsideration of state power and territorialities over the ocean","https://scispace.com/paper/maritime-borders-a-reconsideration-of-state-power-and-155xnf0s","2022","Journal Article","Progress in Human Geography","Po-Yi Hung
Yu‐Hsiu Lien","10.1177/03091325221074698","","While borders traverse both land and sea, current research has mostly concentrated on issues concerning terrestrial borders. Simultaneously, a new body of scholarship has shown how the seemingly boundless oceans are in actuality subject to a variety of bordering forces. As such, we review current research on maritime borders in geography and other related disciplines in three categories: oceanic resource extraction and environmental conservation, volume geography and wet ontology, and concepts of ocean frontiers and voluminous states. Conclusively, we propose land-ocean inter-bordering, multiple materialities, and mobile state power as three future issues to respond to the rapid-changing maritime borders.","In this article , a review of maritime borders in geography and other related disciplines in three categories: oceanic resource extraction and environmental conservation, volume geography and wet ontology, and concepts of ocean frontiers and voluminous states is presented."
"Southern blue criminology: rethinking ocean harmscapes in a global context","https://scispace.com/paper/southern-blue-criminology-rethinking-ocean-harmscapes-in-a-2o1573e6cz76","2024","Journal Article","Frontiers in conservation science","Annette Hübschle
Julie Berg","10.3389/fcosc.2024.1422829","","This paper introduces southern blue criminology, a novel theoretical framework that extends traditional criminological analysis to encompass the environmental harms affecting the world’s oceans, particularly from a Global South perspective. This approach critiques crime-centric analysis and expands upon the concept of “harmscapes” – areas significantly impacted by ecological damage – by integrating socio-economic and cultural contexts often overlooked by prevailing enforcement paradigms developed in the Global North. Through a critical review of existing criminological theories and maritime enforcement practices, this study highlights the inadequacies of current approaches that fail to account for the transnational and complex nature of oceanic harms. Southern blue criminology is proposed through four integrative perspectives: shifting from a crime-centric view to embracing a broader conception of ocean harmscapes; moving beyond state-centric responses to foster whole-of-society involvement including non-state actors; transcending Western-centric governance models in favor of context-dependent strategies that respect local knowledge and practices; and expanding the analytical frame from human-centric approaches to include human–nonhuman assemblages, recognizing the ocean as an active participant in ecological and social interactions. The framework aims to foster more effective and sustainable management of marine environments, proposing a shift from a punitive focus to a more comprehensive, preventive, and restorative approach. The implications of this research are significant, suggesting a transformative shift in policies to better address the intricate web of factors contributing to maritime environmental crimes and to enhance global ecological justice. ","This paper introduces ""Southern blue criminology,"" a framework that critiques traditional criminology and expands the concept of ""harmscapes"" to address oceanic environmental harms from a Global South perspective, proposing a shift to preventive and restorative approaches."
"Littoral Society: The Concept and the Problems","https://scispace.com/paper/littoral-society-the-concept-and-the-problems-55xjvlfc3y","2006","Journal Article","Journal of World History","Michael Pearson","10.1353/JWH.2006.0059","https://www.jstor.org/stable/20079396","A recent review of two new edited books on maritime history con cluded that ""both works reveal how much is left to be done in global historical exploration of the world's oceans and the recognition of oceans and seas as valid categories of historical analysis.""1 My claim is that an attempt to specify the nature of littoral societies is central as we try to advance our exploration of seas and oceans. This article will be consciously tentative and problem oriented. It makes the case that there is such a thing as littoral society, that is, that we can go around the shores of an ocean, or a sea, or indeed the whole world, and identify societies that have more in common with other lit toral societies than they do with their inland neighbors. Location on the shore transcends differing influences from an inland that is very diverse, both in geographic and cultural terms, so that the shore folk have more in common with other shore folk thousands of kilometers","A recent review of two new edited books on maritime history con cluded that ""both works reveal how much is left to be done in global historical exploration of the world's oceans and the recognition of oceans and seas as valid categories of historical analysis"" as discussed by the authors."
"International Relations’ sea sickness","https://scispace.com/paper/international-relations-sea-sickness-3asl14j0","2022","Book Chapter","","","10.7765/9781526155122.00007","","This chapter argues that International Relations has overlooked the seas as a changing global space, and encourages adopting a terraqueous understanding of world politics. Invoking materialist conceptions of geography and history, it explores the ordering of oceans, the international relations of lives spent at or close to the sea, and the international implications of warmer, acidified and expanding seas. It looks at maritime trade and labour, piracy and shipping as global phenomena. The chapter considers these broad issues with a historical-sociological lens, and in conversation with reference to both classical and more contemporary theorists of the relationship between land and sea. ","The authors argues that international relations has overlooked the seas as a changing global space, and encourages adopting a terraqueous understanding of world politics, and explores the ordering of oceans, the international relations of lives spent at or close to the sea, and the international implications of warmer, acidified and expanding seas."
"Within Aquatic Life. Beyond the Anthropogenic Maritorium Prospect","https://scispace.com/paper/within-aquatic-life-beyond-the-anthropogenic-maritorium-2rszfc6g","2023","Journal Article","ESTOA: Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca","","10.18537/est.v012.n023.a01","","Enquiries into non-anthropogenic cultural landscapes, such as marine environments, reveal unsuspected dynamics due to the resurgence ofecosophies that are alien to the globalised economy and territorialisation as a basis for appropriation and subsequent indiscriminate exploitation. Disturbed by the wanderings of geo-engineering, several regions of the world have recently touched on key arguments with points in common that could revitalise nonhuman biospheres and, in them, human ones. When considering maritime dynamics, the ocean must be seen as an entity. Following the ever-inspiringhistorical literatures of Fernand Braudel and expanding on the “mediterraneity” he formulated, we would be testing another concept involving a change in mentality of governmentality: “maritoriums”, a conceptualisation from 1970s Chilean architecture. Based on case studies, we will discuss significant examples in the Mediterranean, the Caribbean and Asian oceans and rivers that contribute to the current debate on. ","In this article , a concept involving a change in mentality of governmentality, called ""maritoriums"" is introduced, a conceptualisation from 1970s Chilean architecture, which can be seen as an extension of the ""mediterraneity"" concept of Braudel."
