sector,provider,query,record_count
Port Activities,openalex,smart port AI digital twin autonomous systems resilience,150
Port Activities,wos,smart port AI digital twin autonomous systems resilience,0
Port Activities,crossref,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,143
Port Activities,scopus,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,0
Port Activities,openalex,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,1
Port Activities,wos,port-city climate adaptation just transition ocean literacy marine governance hydrosocial,0
Port Activities,crossref,port operations EQF qualification framework micro-credential learning outcomes,0
Port Activities,scopus,port operations EQF qualification framework micro-credential learning outcomes,0
Port Activities,openalex,port operations EQF qualification framework micro-credential learning outcomes,2
Port Activities,wos,port operations EQF qualification framework micro-credential learning outcomes,0
Port Activities,crossref,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,146
Port Activities,scopus,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Port Activities,openalex,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Port Activities,wos,port activities maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Port Activities,crossref,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,146
Port Activities,scopus,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Port Activities,openalex,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Port Activities,wos,port activities qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
R&I,crossref,ocean observation marine monitoring data infrastructure,0
R&I,scopus,ocean observation marine monitoring data infrastructure,52
R&I,openalex,ocean observation marine monitoring data infrastructure,150
R&I,wos,ocean observation marine monitoring data infrastructure,39
R&I,crossref,ocean data governance FAIR CARE principles,0
R&I,scopus,ocean data governance FAIR CARE principles,1
R&I,openalex,ocean data governance FAIR CARE principles,150
R&I,wos,ocean data governance FAIR CARE principles,1
R&I,crossref,blue economy research innovation policy governance,0
R&I,scopus,blue economy research innovation policy governance,32
R&I,openalex,blue economy research innovation policy governance,150
R&I,wos,blue economy research innovation policy governance,19
R&I,crossref,blue economy researcher workforce skills competences training professional development,0
R&I,scopus,blue economy researcher workforce skills competences training professional development,0
R&I,openalex,blue economy researcher workforce skills competences training professional development,150
R&I,wos,blue economy researcher workforce skills competences training professional development,0
R&I,crossref,ocean science education learning outcomes curriculum qualification,0
R&I,scopus,ocean science education learning outcomes curriculum qualification,0
R&I,openalex,ocean science education learning outcomes curriculum qualification,150
R&I,wos,ocean science education learning outcomes curriculum qualification,0
R&I,crossref,ocean observation AI digital twin autonomous systems resilience climate adaptation,42
R&I,scopus,ocean observation AI digital twin autonomous systems resilience climate adaptation,0
R&I,openalex,ocean observation AI digital twin autonomous systems resilience climate adaptation,150
R&I,wos,ocean observation AI digital twin autonomous systems resilience climate adaptation,0
R&I,crossref,blue economy research just transition ocean literacy marine governance hydrosocial,127
R&I,scopus,blue economy research just transition ocean literacy marine governance hydrosocial,0
R&I,openalex,blue economy research just transition ocean literacy marine governance hydrosocial,1
R&I,wos,blue economy research just transition ocean literacy marine governance hydrosocial,0
R&I,crossref,ocean science EQF qualification framework micro-credential learning outcomes,0
R&I,scopus,ocean science EQF qualification framework micro-credential learning outcomes,0
R&I,openalex,ocean science EQF qualification framework micro-credential learning outcomes,4
R&I,wos,ocean science EQF qualification framework micro-credential learning outcomes,0
R&I,crossref,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,97
R&I,scopus,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
R&I,openalex,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
R&I,wos,r&i maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
R&I,crossref,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,124
R&I,scopus,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
R&I,openalex,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
R&I,wos,r&i qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Ship Repair,crossref,ship repair shipyard workforce skills training,73
Ship Repair,scopus,ship repair shipyard workforce skills training,2
Ship Repair,openalex,ship repair shipyard workforce skills training,150
Ship Repair,wos,ship repair shipyard workforce skills training,2
Ship Repair,crossref,ship retrofit decarbonization maintenance governance,88
Ship Repair,scopus,ship retrofit decarbonization maintenance governance,0
Ship Repair,openalex,ship retrofit decarbonization maintenance governance,150
Ship Repair,wos,ship retrofit decarbonization maintenance governance,0
Ship Repair,crossref,maritime repair supply chain safety standards,0
Ship Repair,scopus,maritime repair supply chain safety standards,0
Ship Repair,openalex,maritime repair supply chain safety standards,150
Ship Repair,wos,maritime repair supply chain safety standards,0
Ship Repair,crossref,shipyard worker workforce skills competences training professional development,0
Ship Repair,scopus,shipyard worker workforce skills competences training professional development,0
Ship Repair,openalex,shipyard worker workforce skills competences training professional development,150
Ship Repair,wos,shipyard worker workforce skills competences training professional development,0
Ship Repair,crossref,ship repair engineer education learning outcomes curriculum qualification,0
Ship Repair,scopus,ship repair engineer education learning outcomes curriculum qualification,0
Ship Repair,openalex,ship repair engineer education learning outcomes curriculum qualification,128
Ship Repair,wos,ship repair engineer education learning outcomes curriculum qualification,0
Ship Repair,crossref,ship repair AI digital twin autonomous systems resilience,0
Ship Repair,scopus,ship repair AI digital twin autonomous systems resilience,0
Ship Repair,openalex,ship repair AI digital twin autonomous systems resilience,150
Ship Repair,wos,ship repair AI digital twin autonomous systems resilience,0
Ship Repair,crossref,ship retrofit just transition climate adaptation marine governance safety,0
Ship Repair,scopus,ship retrofit just transition climate adaptation marine governance safety,0
Ship Repair,openalex,ship retrofit just transition climate adaptation marine governance safety,147
Ship Repair,wos,ship retrofit just transition climate adaptation marine governance safety,0
Ship Repair,crossref,ship repair EQF qualification framework micro-credential learning outcomes,0
Ship Repair,scopus,ship repair EQF qualification framework micro-credential learning outcomes,0
Ship Repair,openalex,ship repair EQF qualification framework micro-credential learning outcomes,1
Ship Repair,wos,ship repair EQF qualification framework micro-credential learning outcomes,0
Ship Repair,crossref,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,145
Ship Repair,scopus,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Ship Repair,openalex,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Ship Repair,wos,ship repair maritimisation marinization oceanisation hydrosocial de-base-re hypothesis verification indicators,0
Ship Repair,crossref,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,146
Ship Repair,scopus,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Ship Repair,openalex,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
Ship Repair,wos,ship repair qmbd axis translation marine maritime oceanic hydronization theory terms taxonomy mapping,0
